Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
CJ McCollum,2TM,PG,29.8,19.7,25.7,9.7,76,40,733,0.442,106.0,0.375,0.566,97.0,0.205,78.0,28,2.9,9.2,6.0,1.4,1.3,-1.7,77,23,0,0,0,2,-1.5592096907330135,2.6820769988970583,63.9,54.8,13.4,28.4,14.4,38.1
De'Aaron Fox,SAS,PG,31.0,29.6,24.9,12.4,92,58,1108,0.377,91.0,0.332,0.578,99.0,0.235,89.0,21,2.1,10.7,6.5,0.8,1.9,0.6,99,1,0,0,0,2,-0.8129574532844712,4.316215144025856,80.4,43.8,11.4,20.2,23.3,38.4
Jerami Grant,POR,PF,29.7,11.0,23.8,12.0,51,45,312,0.479,116.0,0.389,0.608,105.0,0.441,167.0,31,3.5,9.3,6.3,1.9,1.2,-0.9,0,0,58,39,3,4,0.2478452685454317,1.1227440631618133,28.6,71.0,17.3,48.8,35.9,53.9
Kon Knueppel,CHO,SF,31.5,16.6,22.3,12.0,74,63,683,0.592,143.0,0.425,0.633,109.0,0.208,79.0,21,4.4,14.6,9.6,0.7,1.1,-0.4,0,46,49,5,0,4,-0.9757739141606104,1.6904067527331037,38.5,90.0,12.4,45.7,43.6,36.6
DeMar DeRozan,SAC,PF,31.2,20.0,22.8,7.4,51,26,786,0.146,35.0,0.32,0.594,102.0,0.429,163.0,47,1.6,9.1,5.3,0.9,1.6,-1.0,0,6,55,39,0,4,0.7246859318519705,2.3946082119238823,39.8,48.5,16.3,15.6,38.7,68.2
Amen Thompson,HOU,PG,37.4,20.4,20.0,13.5,92,72,1040,0.111,27.0,0.216,0.594,102.0,0.374,142.0,51,8.9,14.0,11.5,1.5,2.0,1.0,83,16,1,0,0,4,2.4872310662451715,4.468645448798544,61.3,27.3,26.8,0.0,31.3,74.5
Evan Mobley,CLE,PF,31.9,16.8,22.6,11.0,42,59,573,0.243,59.0,0.297,0.596,103.0,0.346,131.0,41,8.3,22.7,15.5,5.2,1.1,1.2,0,0,0,35,65,1,3.9703335802388016,1.2020034354324645,33.7,34.8,66.3,63.1,21.1,64.0
Scottie Barnes,TOR,PF,33.5,26.3,23.4,14.3,131,40,1086,0.199,48.0,0.304,0.577,99.0,0.264,100.0,34,6.3,19.3,12.7,4.2,2.1,2.3,0,0,2,67,31,4,2.6429637162835387,3.226031952569958,48.3,32.2,46.9,54.7,32.5,54.8
Trae Young,2TM,PG,25.6,45.8,28.1,15.1,33,4,291,0.452,109.0,0.338,0.612,105.0,0.548,208.0,14,1.1,7.4,4.2,0.5,1.6,-1.4,100,0,0,0,0,2,-0.2928213578164275,2.8746091813428483,79.8,51.6,3.5,23.6,11.8,50.4
Jalen Green,PHO,SG,25.9,18.6,31.9,11.6,25,33,233,0.443,107.0,0.313,0.516,89.0,0.17,64.0,9,2.1,13.9,7.8,0.9,2.0,-0.9,9,63,27,1,0,7,-2.041361051143007,0.7244226354466916,42.1,70.0,13.7,26.1,37.7,23.0
Saddiq Bey,NOP,SF,31.2,11.9,21.6,5.8,28,22,446,0.426,103.0,0.367,0.579,100.0,0.305,116.0,29,5.7,13.5,9.6,0.3,1.4,-1.8,0,2,51,46,0,5,-0.3884320379943797,-0.0392948583008655,30.6,62.7,14.8,44.3,32.5,47.4
Bennedict Mathurin,2TM,SF,30.0,12.0,25.2,12.5,52,42,318,0.352,85.0,0.315,0.575,99.0,0.496,188.0,32,3.9,16.5,10.2,0.7,1.3,-1.4,2,35,51,12,1,4,0.9422887979004528,1.5917794491117756,29.8,66.2,18.9,25.3,38.2,58.9
Coby White,2TM,SG,25.0,24.8,28.8,14.9,55,46,504,0.51,123.0,0.362,0.595,102.0,0.387,147.0,23,1.5,13.1,7.4,0.4,0.9,-1.9,47,45,8,0,0,4,-0.6964110544220983,2.802353616925793,57.6,69.7,9.0,31.8,17.0,43.9
Kevin Porter Jr.,MIL,PG,33.2,33.8,24.3,15.9,56,38,684,0.278,67.0,0.322,0.567,98.0,0.304,115.0,17,3.1,14.6,8.9,1.5,3.2,1.2,44,56,0,0,0,2,0.1147763283568724,2.9192095247450287,58.8,51.7,18.4,15.9,45.7,43.0
Paul George,PHI,PF,30.7,17.7,23.3,10.2,37,14,311,0.497,120.0,0.392,0.57,98.0,0.216,82.0,9,1.9,17.1,9.4,1.3,2.6,0.7,0,0,45,55,0,5,-0.9795039558939016,-0.3287251263954458,33.1,65.4,16.3,56.5,46.6,27.4
Ryan Rollins,MIL,PG,32.1,27.1,24.2,15.5,112,65,1031,0.44,106.0,0.406,0.583,100.0,0.152,58.0,12,2.6,13.4,8.0,1.3,2.3,-0.5,96,4,0,0,0,2,-1.2113029527242216,4.000677518786024,75.8,51.5,14.3,31.3,22.7,28.8
Miles Bridges,CHO,PF,31.0,15.9,22.3,8.5,60,25,645,0.427,103.0,0.333,0.57,98.0,0.243,92.0,18,3.6,17.4,10.6,1.3,1.0,-0.1,0,0,3,95,2,5,0.0201655568120467,0.4959735511023473,36.7,45.8,20.1,64.7,16.8,36.6
Chet Holmgren,OKC,PF,28.9,8.6,21.9,10.6,25,48,272,0.312,75.0,0.362,0.653,112.0,0.365,138.0,22,7.4,25.3,16.7,6.4,1.0,1.9,0,0,1,37,62,1,4.268314126646601,-0.6085779138532443,23.2,45.6,71.4,75.2,23.9,57.3
Jalen Williams,OKC,SG,28.4,29.3,26.2,11.1,24,23,446,0.173,42.0,0.299,0.56,96.0,0.289,110.0,14,3.3,13.9,8.8,0.9,2.0,1.0,0,18,51,31,0,6,0.2297486296677002,1.0830173760768127,42.3,50.0,18.6,16.7,48.2,43.5
Josh Giddey,CHI,PG,32.1,41.1,24.4,19.3,123,52,1209,0.395,95.0,0.364,0.562,97.0,0.318,121.0,17,4.2,23.1,13.7,1.4,1.5,0.4,49,48,3,0,0,4,0.7195734420011095,4.802539150152603,74.4,58.6,20.4,31.0,30.7,40.8
Payton Pritchard,BOS,PG,32.4,23.5,21.4,8.7,47,30,1003,0.515,124.0,0.377,0.584,101.0,0.125,47.0,9,3.0,10.2,6.7,0.4,1.1,-0.3,100,0,0,0,0,2,-2.140941562614956,1.805615889485946,73.9,52.5,8.2,32.3,16.0,24.2
Andrew Nembhard,IND,PG,31.3,37.0,23.6,13.8,62,49,1053,0.393,95.0,0.361,0.564,97.0,0.311,118.0,17,1.5,8.4,4.9,0.4,1.4,-1.9,77,23,0,0,0,2,-1.3464572153391914,3.9475041717587662,77.0,50.5,6.5,20.6,15.4,38.4
Kristaps Porziņģis,2TM,C,24.0,16.1,27.3,8.2,24,9,194,0.412,99.0,0.338,0.582,100.0,0.407,154.0,9,5.6,18.5,11.9,4.5,1.1,0.3,0,0,0,0,100,1,2.336249271677282,-0.7919304205518182,33.6,46.9,67.8,73.2,15.3,43.6
OG Anunoby,NYK,PF,33.2,9.2,19.7,12.0,59,35,367,0.506,122.0,0.386,0.62,107.0,0.275,104.0,18,4.3,13.4,8.8,2.2,2.3,1.1,0,0,8,90,2,5,0.2428797106660467,0.0053826606947925,24.7,56.7,20.9,72.1,33.4,40.1
Stephon Castle,SAS,PG,30.0,34.5,24.9,18.0,115,71,1246,0.299,72.0,0.332,0.575,99.0,0.47,178.0,44,5.3,13.5,9.5,0.8,1.8,0.9,48,52,0,0,0,4,1.4205319487027812,6.039938214228863,70.4,53.0,15.8,16.9,34.0,66.0
Dejounte Murray,NOP,PG,27.8,35.4,26.6,18.9,20,22,210,0.341,82.0,0.306,0.58,100.0,0.247,94.0,5,1.1,19.9,10.4,0.7,2.8,0.5,96,4,0,0,0,2,-0.1908315129667665,1.623750833754798,67.0,42.2,15.5,19.4,28.7,31.8
