Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
Caleb Love,POR,SG,20.7,18.4,23.0,10.8,33,26,301,0.596,144.0,0.318,0.497,86.0,0.1,38.0,0,2.6,9.7,6.1,0.4,1.3,-1.6,86,12,2,0,0,7,-3.3714382655601742,0.2732527071399247,56.4,52.9,6.7,35.0,14.7,9.7
Lucas Williamson,MEM,SG,32.0,10.8,16.4,11.3,5,5,45,0.707,170.0,0.283,0.465,80.0,0.107,40.0,2,5.2,13.3,9.2,0.4,2.3,-2.1,16,77,7,0,0,7,-3.5974936040646868,-2.0279086456737625,23.3,72.3,9.4,44.4,37.9,7.6
Egor Dёmin,BRK,PG,25.2,20.7,18.8,15.3,51,23,439,0.717,173.0,0.385,0.561,97.0,0.145,55.0,1,1.8,13.5,7.3,1.2,1.6,-0.7,76,25,0,0,0,7,-2.700440848239625,0.4787899656386902,53.6,68.6,8.6,50.5,24.2,12.8
DaQuan Jeffries,SAC,SG,20.0,2.5,15.0,0.0,0,0,3,0.474,114.0,0.444,0.731,126.0,0.263,100.0,1,5.4,3.8,4.7,0.0,1.6,-1.1,0,16,63,22,0,0,-1.34835037094604,-3.035767737028162,12.4,84.4,8.2,38.1,47.4,41.3
Will Riley,WAS,SF,22.1,12.7,20.2,11.9,48,25,347,0.4,96.0,0.316,0.548,94.0,0.291,110.0,18,3.6,10.4,7.0,0.5,1.6,-2.6,0,0,15,77,8,5,-0.7734221829093915,0.0980336561049838,26.1,44.9,15.6,52.3,17.0,38.2
Khris Middleton,2TM,SF,22.8,17.3,20.6,15.3,67,27,420,0.344,83.0,0.36,0.533,92.0,0.252,96.0,11,3.8,13.4,8.6,0.5,1.3,-1.5,0,4,27,67,2,5,-0.6594238180165295,0.5676181549703541,29.2,47.4,15.9,45.8,24.5,33.7
Neemias Queta,BOS,C,25.3,9.3,14.7,11.5,23,22,315,0.016,4.0,0.125,0.674,116.0,0.351,133.0,17,13.4,22.7,18.1,5.2,1.6,2.0,0,0,0,0,100,3,5.959187230950473,-1.6802818956634675,14.1,17.0,86.8,39.1,31.5,69.5
D'Angelo Russell,DAL,PG,19.0,31.2,26.0,15.9,36,11,247,0.483,116.0,0.295,0.511,88.0,0.259,98.0,0,1.7,11.2,6.5,0.3,1.1,-1.6,77,23,0,0,0,2,-2.1280854461712,1.17071177654119,61.7,49.9,7.1,25.3,13.3,21.3
Jalen Smith,CHI,C,20.7,8.5,19.0,10.6,19,16,160,0.545,131.0,0.373,0.608,105.0,0.23,87.0,15,9.6,24.6,17.2,3.3,1.0,-0.9,0,0,0,38,62,1,1.7981070540688702,-2.1371244577993957,20.7,54.8,55.0,87.1,14.2,38.8
Ziaire Williams,BRK,SF,22.9,7.4,18.9,10.7,28,21,139,0.58,140.0,0.343,0.579,100.0,0.323,123.0,14,2.6,10.0,6.1,1.5,2.9,0.4,1,22,63,12,3,6,-1.3008556842533463,-0.7433033270177987,20.1,78.5,14.1,43.1,61.1,34.0
Precious Achiuwa,SAC,C,23.9,8.5,17.6,9.0,16,31,237,0.162,39.0,0.278,0.558,96.0,0.232,88.0,15,11.0,20.8,15.8,2.6,1.8,-1.1,0,0,0,83,17,5,2.097885409690728,-1.4843880352528878,17.3,24.9,42.9,50.3,19.5,47.8
Derrick Jones Jr.,LAC,SF,27.0,7.3,15.1,8.7,19,11,167,0.404,97.0,0.359,0.6,103.0,0.245,93.0,22,5.4,9.4,7.5,3.5,1.7,-0.1,0,29,60,11,0,6,-0.4514915194426127,-1.517711555212831,15.4,70.3,26.2,34.9,53.3,43.0
Kevin Huerter,2TM,SF,22.4,16.1,18.8,10.3,48,19,414,0.545,131.0,0.308,0.552,95.0,0.119,45.0,12,2.4,14.2,8.4,1.9,1.9,0.5,0,27,63,10,0,0,-1.8987738235773464,-0.4073804668584372,30.0,74.4,16.8,39.8,55.8,21.6
Jordan Miller,LAC,SF,22.1,15.1,18.0,11.7,25,27,341,0.276,66.0,0.345,0.628,108.0,0.439,166.0,9,4.5,11.3,8.0,0.8,1.7,-0.4,9,41,41,8,1,6,0.599242698623015,0.1545416190030511,26.5,62.9,17.7,17.8,45.7,51.7
Toby Okani,MEM,SG,36.2,3.7,14.7,3.9,1,0,15,0.443,107.0,0.29,0.408,70.0,0.114,43.0,0,4.4,6.1,5.2,1.3,0.9,-3.9,0,2,20,62,16,0,-3.380569867841223,-3.0811428731138726,11.7,36.5,19.8,51.9,12.4,10.0
Olivier-Maxence Prosper,MEM,PF,18.6,7.8,18.9,10.5,19,20,123,0.423,102.0,0.405,0.662,114.0,0.326,124.0,16,6.4,14.3,10.3,1.2,1.9,-1.2,0,2,19,63,16,5,0.8238539610736473,-1.301557488036507,18.3,59.3,25.3,60.9,27.0,49.0
Isaiah Stewart,DET,C,22.7,6.9,16.6,12.7,17,21,154,0.299,72.0,0.333,0.632,109.0,0.326,124.0,14,8.3,16.3,12.4,7.0,0.6,1.1,0,0,0,25,75,1,3.340155039948669,-1.9554635142824768,14.1,39.9,73.5,70.6,20.4,51.1
Harrison Barnes,SAS,PF,25.8,9.7,14.6,8.8,34,19,345,0.623,150.0,0.388,0.608,105.0,0.214,81.0,11,3.5,7.9,5.8,0.5,1.2,0.1,0,0,4,88,8,5,-1.534597404964504,-1.2383417435668354,21.8,59.5,10.2,76.0,23.2,28.7
Tristan Da Silva,ORL,SF,24.7,9.3,16.2,9.4,42,14,285,0.518,125.0,0.374,0.576,99.0,0.153,58.0,7,3.4,13.4,8.3,1.2,1.7,0.1,0,4,83,13,0,0,-1.7451247637153635,-1.3455685111206346,20.8,76.3,15.4,40.5,57.5,24.4
Ausar Thompson,DET,SF,26.0,16.3,16.9,14.3,52,38,538,0.042,10.0,0.25,0.545,94.0,0.331,126.0,16,9.0,15.6,12.4,3.6,3.7,3.6,0,3,80,17,0,6,2.35246457886012,0.6713838396633296,24.2,40.7,38.2,8.5,82.6,54.2
Royce O'Neale,PHO,SF,28.4,12.8,14.3,13.8,64,16,505,0.832,200.0,0.408,0.596,103.0,0.061,23.0,1,2.9,16.3,9.3,1.4,1.9,1.0,0,7,69,23,0,0,-2.6259403957543714,-1.1781920749856385,27.1,92.9,10.7,71.2,58.3,8.6
Zach Collins,CHI,C,18.4,12.0,18.8,12.1,4,3,36,0.328,79.0,0.429,0.666,115.0,0.313,119.0,4,9.4,22.8,16.2,1.9,0.5,-0.7,0,0,0,5,95,1,2.896629743249,-2.4681482634742924,18.0,48.9,63.1,69.1,11.7,48.2
Micah Potter,IND,C,19.3,11.2,18.0,12.2,18,14,168,0.573,138.0,0.423,0.679,117.0,0.345,131.0,4,6.8,21.4,14.0,1.4,1.2,-0.8,0,0,0,8,92,1,1.8611877411584088,-1.861214042989125,21.5,63.2,52.8,84.4,16.4,41.4
Javon Small,MEM,PG,20.2,26.1,19.0,14.7,37,13,368,0.493,119.0,0.423,0.611,105.0,0.285,108.0,10,4.6,12.2,8.3,1.0,1.9,-0.6,95,5,0,0,0,2,-0.8064007437547127,0.8630667642984275,58.8,55.6,12.6,35.8,22.4,36.8
Zaccharie Risacher,ATL,SF,22.4,6.8,17.6,9.2,22,22,184,0.481,116.0,0.368,0.557,96.0,0.168,64.0,11,5.0,13.6,9.3,2.2,1.9,-0.2,0,2,90,8,0,0,-1.296454740231733,-1.5778840310683488,18.4,74.7,21.7,38.7,59.3,28.1
Daniel Gafford,DAL,C,21.7,7.0,15.8,14.0,29,19,136,0.0,0.0,0.0,0.677,116.0,0.509,193.0,19,12.3,21.1,16.7,4.9,1.7,1.2,0,0,0,0,100,3,6.588066783236987,-1.4035504063465158,9.7,11.2,84.6,29.6,28.6,78.2
Jay Huff,IND,C,21.0,10.4,18.0,10.4,32,20,298,0.61,147.0,0.319,0.598,103.0,0.162,61.0,16,4.5,16.2,10.3,7.6,1.1,1.3,0,0,0,0,100,1,1.211269919032943,-1.7285078093391284,24.1,55.1,75.2,93.1,23.8,28.9
T.J. McConnell,IND,PG,17.2,50.0,23.2,12.1,35,21,719,0.111,27.0,0.32,0.567,98.0,0.064,24.0,5,2.4,11.8,7.0,0.9,2.8,0.4,100,0,0,0,0,2,-1.1247061531262856,2.5447776351825344,82.7,26.5,14.6,0.0,29.2,29.4
Svi Mykhailiuk,UTA,SF,23.1,11.0,14.8,10.1,18,16,227,0.663,160.0,0.408,0.626,108.0,0.077,29.0,6,3.3,8.4,5.8,0.3,1.1,-2.0,0,62,35,2,0,0,-3.170536101775076,-1.7376635959769136,20.8,90.3,5.7,44.9,39.0,19.3
Aaron Wiggins,OKC,SG,21.8,10.6,19.9,12.5,43,31,261,0.504,121.0,0.356,0.538,93.0,0.134,51.0,4,3.3,11.7,7.6,1.9,2.1,0.7,2,31,48,18,0,7,-1.8908382147256493,-0.5996618613254765,24.3,70.2,17.5,41.3,52.3,19.6
Daniss Jenkins,DET,PG,20.2,25.8,21.5,15.3,68,33,655,0.343,83.0,0.374,0.525,90.0,0.283,108.0,8,4.0,8.7,6.4,1.0,2.1,0.1,92,8,0,0,0,2,-1.0929284398186396,2.4370557802557964,63.7,40.7,13.3,20.2,25.8,33.4
Davion Mitchell,MIA,PG,28.6,29.1,13.6,16.1,76,21,1128,0.428,103.0,0.395,0.582,100.0,0.122,46.0,3,1.6,8.0,4.8,0.5,1.6,0.4,100,0,0,0,0,2,-2.1634671881539758,2.187208552815996,69.2,45.4,7.2,25.2,25.9,22.5
Isaac Okoro,CHI,SG,26.9,7.8,13.6,8.3,20,18,252,0.481,116.0,0.33,0.574,99.0,0.244,93.0,12,4.4,6.4,5.4,1.5,1.3,-0.8,0,33,61,6,0,0,-1.717445730203666,-1.3889575858110732,16.6,72.4,14.1,31.0,49.9,33.2
Landry Shamet,NYK,SG,23.0,8.2,15.7,7.0,20,6,185,0.723,174.0,0.392,0.598,103.0,0.209,79.0,6,2.2,6.6,4.4,0.8,1.3,0.1,3,85,12,0,0,7,-3.071460522777467,-1.5953797814008333,21.4,90.7,5.3,47.9,43.5,21.3
Marcus Smart,LAL,SG,28.5,13.6,15.4,14.7,62,17,417,0.616,148.0,0.331,0.543,93.0,0.271,103.0,13,2.5,8.7,5.7,1.2,2.4,0.6,25,72,3,0,0,7,-2.107636802607093,0.4470760550444114,31.1,71.7,9.7,38.7,46.9,27.2
Jaden Hardy,2TM,SG,15.8,9.7,24.4,11.8,31,24,134,0.611,147.0,0.397,0.566,97.0,0.175,66.0,6,1.8,8.5,5.1,0.6,0.8,-3.3,27,60,13,0,0,7,-3.093769237187604,-0.3849160791665517,33.7,78.9,7.3,39.7,18.1,20.2
Isaiah Hartenstein,OKC,C,24.2,20.1,16.1,19.3,42,14,390,0.024,6.0,0.0,0.631,109.0,0.355,135.0,15,14.8,27.0,21.1,3.1,2.0,3.2,0,0,0,0,100,3,6.262166171097442,-0.753525199848704,21.7,9.5,80.2,31.0,38.1,66.6
Sam Hauser,BOS,PF,24.8,7.9,14.5,5.4,17,11,293,0.839,202.0,0.393,0.59,101.0,0.033,13.0,4,3.3,13.6,8.5,1.2,1.0,0.0,0,0,20,77,3,0,-2.915116856933461,-2.665418516896419,22.8,75.6,10.6,90.8,27.8,8.3
Corey Kispert,2TM,SF,18.6,11.8,18.6,9.3,23,11,224,0.602,145.0,0.367,0.609,105.0,0.246,93.0,13,2.7,10.7,6.6,0.7,0.7,-2.0,0,26,65,9,0,0,-1.9172470295239392,-1.1411146390497644,24.5,84.5,9.4,42.4,38.9,31.3
Taurean Prince,MIL,SF,23.5,10.7,16.2,13.8,23,7,116,0.733,177.0,0.436,0.617,106.0,0.031,12.0,2,0.7,14.1,7.5,1.0,1.3,-1.8,0,20,69,11,0,0,-3.2377488154542347,-2.214531335725748,19.6,94.2,9.2,58.1,45.2,10.1
Gui Santos,GSW,PF,20.5,16.7,18.7,16.6,57,27,397,0.483,116.0,0.351,0.609,105.0,0.261,99.0,15,5.9,15.6,10.6,1.5,2.1,0.3,0,0,19,79,2,5,0.3699777409340936,0.0577708331454824,27.6,56.0,19.6,64.4,33.8,39.2
Cam Whitmore,WAS,SF,16.9,6.5,23.7,9.0,6,10,38,0.331,80.0,0.286,0.528,91.0,0.183,70.0,7,5.7,12.0,8.8,2.0,2.0,-2.1,0,6,57,37,0,5,-1.0722070981980651,-1.8286370895846384,20.1,53.9,23.3,32.9,37.5,29.9
Quenton Jackson,IND,PG,18.3,23.1,20.9,14.0,31,18,346,0.36,87.0,0.356,0.589,101.0,0.363,138.0,13,3.3,10.7,6.9,0.6,1.6,-0.8,85,15,0,0,0,2,-0.4408589301142669,1.221926203680179,54.6,47.0,12.4,20.1,20.7,43.4
Devin Carter,SAC,PG,18.4,20.9,23.5,13.9,34,13,228,0.39,94.0,0.263,0.508,87.0,0.322,122.0,9,5.6,14.6,10.0,1.2,2.3,-1.2,95,5,0,0,0,2,-0.5532519033535298,0.8063107219901611,56.5,37.2,18.2,21.7,20.5,34.6
Herbert Jones,NOP,SF,28.4,12.9,15.2,12.6,45,15,360,0.542,131.0,0.309,0.491,84.0,0.13,49.0,6,3.2,9.8,6.4,1.6,2.7,0.6,17,58,23,2,0,7,-2.75885742237803,-0.5288981718753005,27.2,65.1,13.7,34.2,54.0,15.7
Nolan Traoré,BRK,PG,22.2,27.2,22.8,19.9,70,45,542,0.401,97.0,0.318,0.479,82.0,0.196,74.0,7,1.2,8.4,4.6,1.7,1.8,-2.0,97,3,0,0,0,2,-2.20714542728609,2.657040054484413,64.4,37.5,12.6,21.8,14.1,21.2
Danny Wolf,BRK,PF,20.8,17.1,20.6,13.0,41,22,305,0.48,116.0,0.322,0.521,90.0,0.248,94.0,6,5.3,23.2,13.8,2.5,1.2,-0.3,0,0,0,78,22,5,0.5011767644473987,-0.7053066523982447,29.1,43.4,34.2,74.8,17.1,27.5
John Poulakidas,DAL,SG,19.5,6.1,16.2,4.1,3,1,29,0.846,204.0,0.403,0.611,105.0,0.077,29.0,1,1.7,10.8,6.3,1.3,1.3,-1.2,4,49,47,0,0,0,-3.808731536212549,-2.9913448350194747,20.1,100.0,7.5,60.7,44.8,9.1
Payton Sandfort,OKC,SF,15.8,0.0,19.8,3.5,0,0,0,0.654,158.0,0.412,0.63,108.0,0.154,58.0,0,1.8,14.9,8.6,0.0,0.8,-3.3,0,0,73,27,0,0,-2.564393732172456,-3.181499917126565,16.3,86.6,9.7,55.4,31.9,19.6
Cody Williams,UTA,SG,24.3,11.4,16.0,11.5,28,31,333,0.257,62.0,0.214,0.524,90.0,0.234,89.0,10,3.9,9.3,6.6,1.5,1.5,-1.9,3,46,43,9,0,7,-1.097387508665551,-0.3929507158702473,20.3,50.1,19.4,10.1,41.4,34.3
Justin Champagnie,WAS,SF,20.0,8.7,16.7,8.2,26,10,211,0.359,87.0,0.319,0.589,101.0,0.221,84.0,14,11.1,19.0,15.0,2.7,2.0,-1.0,0,16,61,22,1,5,0.7743574783412334,-1.918007415228537,18.3,62.5,33.0,38.6,48.8,43.3
Jordan Goodwin,PHO,PG,22.5,13.6,17.5,10.5,38,20,357,0.544,131.0,0.371,0.525,90.0,0.101,38.0,6,9.4,14.8,12.0,0.9,3.3,1.5,40,52,8,0,0,7,-1.6613396233136293,-0.6228604258217321,36.5,64.9,17.5,40.0,53.2,21.9
Day'Ron Sharpe,BRK,C,18.7,21.1,19.9,20.0,33,29,356,0.11,26.0,0.231,0.638,110.0,0.427,162.0,14,16.2,25.7,20.7,2.1,2.9,1.0,0,0,0,0,100,3,5.71788690543379,-0.1423414078976555,26.1,26.3,73.9,46.7,33.8,68.9
Jordan Clarkson,NYK,SG,17.8,10.7,21.1,10.0,25,19,239,0.407,98.0,0.327,0.548,94.0,0.179,68.0,11,5.4,5.7,5.6,0.7,1.2,-1.4,1,65,34,0,0,7,-2.1515720243217804,-0.6522365769512843,24.6,69.5,12.1,21.3,39.0,30.5
Nique Clifford,SAC,SG,25.1,13.0,17.0,15.4,65,37,419,0.388,93.0,0.333,0.505,87.0,0.163,62.0,6,3.8,13.3,8.4,1.2,1.7,-1.2,20,48,29,3,0,7,-1.7112642517420495,0.4118427763166051,28.5,58.1,17.5,24.8,39.8,23.5
Cason Wallace,OKC,SG,26.6,12.7,14.5,10.6,44,21,496,0.493,119.0,0.351,0.538,92.0,0.116,44.0,3,3.5,8.9,6.3,1.3,3.5,3.3,19,67,13,0,0,7,-2.317112566730813,-0.2908695151353462,29.4,66.6,13.4,31.1,68.0,18.7
Jaden Ivey,2TM,SG,18.1,14.0,19.7,12.9,20,16,161,0.523,126.0,0.373,0.571,98.0,0.184,70.0,5,4.0,10.9,7.5,2.0,1.6,0.2,31,62,8,0,0,7,-1.7268989022209302,-0.7757838926724858,32.2,70.6,16.9,37.2,37.7,25.0
Vít Krejčí,2TM,PG,21.4,9.6,14.6,8.3,22,9,245,0.765,184.0,0.39,0.609,105.0,0.119,45.0,5,2.4,9.3,5.8,1.2,1.6,0.0,55,42,3,0,0,7,-3.073121932215608,-1.4420228582847283,35.9,78.9,7.5,53.1,33.5,15.9
Simone Fontecchio,MIA,SF,16.8,11.6,19.6,8.7,22,12,248,0.696,168.0,0.375,0.579,100.0,0.217,82.0,8,4.9,13.8,9.3,0.7,1.5,-0.2,0,0,24,73,3,5,-1.4943534592199497,-1.5087074775624567,26.9,69.0,11.8,77.1,29.4,24.3
Bones Hyland,MIN,PG,16.6,22.7,20.6,12.2,36,17,445,0.639,154.0,0.388,0.599,103.0,0.175,66.0,5,2.2,9.5,5.9,1.3,1.8,0.5,92,8,0,0,0,2,-2.217642162767183,0.6054820187060164,61.0,62.9,8.6,43.7,25.8,21.6
Brook Lopez,LAC,C,21.8,8.5,17.2,9.6,18,16,243,0.585,141.0,0.36,0.552,95.0,0.137,52.0,14,3.4,15.7,9.7,5.0,1.4,0.4,0,0,0,0,100,5,0.053463192327752,-1.96723683474898,21.1,52.0,64.9,86.7,22.8,23.2
Collin Murray-Boyles,TOR,PF,21.9,11.7,15.5,13.2,27,12,262,0.146,35.0,0.34,0.621,107.0,0.316,120.0,10,12.0,14.0,13.0,4.1,2.0,1.5,0,0,8,82,11,5,2.8094658170276534,-1.531056393049068,16.4,32.7,43.3,50.7,35.0,55.6
Luke Kennard,2TM,SG,21.6,13.8,13.5,11.2,38,15,425,0.553,133.0,0.478,0.689,118.0,0.156,59.0,5,2.1,10.0,6.1,0.4,1.6,0.1,10,50,39,1,0,0,-1.89471226907026,-0.864244211140571,26.0,88.9,8.2,40.2,50.2,29.6
Kentavious Caldwell-Pope,MEM,SG,21.3,17.7,17.7,13.2,31,22,329,0.475,115.0,0.316,0.533,92.0,0.219,83.0,2,2.0,10.6,6.2,0.7,1.9,-0.2,3,76,19,2,0,7,-2.174655765593526,-0.1720611356590242,27.7,69.1,10.5,27.1,46.3,22.3
Draymond Green,GSW,PF,27.5,27.3,16.1,25.5,138,19,907,0.631,152.0,0.326,0.54,93.0,0.171,65.0,9,3.2,19.5,11.2,2.1,1.6,1.0,0,0,6,52,43,2,-0.2221300868909733,1.7425214761299122,40.0,53.7,32.1,81.4,29.3,20.1
Jared McCain,2TM,SG,17.3,11.0,20.7,10.0,21,21,224,0.535,129.0,0.385,0.551,95.0,0.123,47.0,3,2.2,10.6,6.4,0.4,1.5,-0.8,14,67,19,0,0,7,-2.872987825954352,-0.8261936424258978,28.8,75.4,9.4,34.0,38.0,17.6
Luguentz Dort,OKC,SF,26.8,5.9,14.1,8.9,27,12,214,0.71,171.0,0.344,0.524,90.0,0.111,42.0,8,3.4,10.7,7.2,1.4,1.6,0.8,0,1,41,56,1,0,-2.691981795105795,-2.1035630046463822,17.4,68.0,12.0,69.3,43.5,13.3
Al Horford,GSW,C,21.5,17.0,16.5,11.1,22,8,290,0.633,152.0,0.361,0.554,95.0,0.08,30.0,3,5.0,20.5,12.6,4.9,1.5,1.3,0,0,0,6,94,5,0.1220345191534318,-2.213168412827072,26.8,54.6,63.7,92.8,27.3,15.1
Josh Oduro,NOP,PF,27.3,6.6,11.0,9.2,0,0,9,0.118,28.0,0.0,0.636,109.0,0.353,134.0,4,14.3,15.9,15.1,0.0,0.0,-4.3,0,0,14,83,3,5,2.541432139641032,-3.3085809792682284,5.1,17.6,28.0,20.9,4.0,58.4
Kadary Richmond,WAS,SG,22.3,16.6,12.0,10.4,2,0,17,0.25,60.0,0.5,0.722,124.0,0.188,71.0,1,1.6,14.7,8.0,1.3,5.7,4.4,0,1,64,34,0,6,0.2685471622944853,-2.0660029408835827,13.7,68.6,19.6,34.2,94.9,40.2
Malachi Smith,BRK,SG,23.9,21.2,14.2,12.0,4,7,121,0.465,112.0,0.435,0.605,104.0,0.081,31.0,4,3.7,13.4,8.3,1.0,1.7,-0.8,29,68,3,0,0,7,-2.086291050349466,-1.4595789178331302,29.9,70.4,13.9,34.3,36.6,23.2
Bradley Beal,LAC,SG,20.2,12.0,22.2,14.9,6,2,23,0.396,95.0,0.368,0.476,82.0,0.167,63.0,0,2.0,2.8,2.4,0.0,1.2,-3.9,0,81,19,0,0,7,-3.831601911521543,-1.1513012917775425,20.9,65.9,5.5,18.1,26.2,17.0
LJ Cryer,GSW,PG,16.2,9.0,20.3,10.0,6,3,44,0.803,194.0,0.394,0.59,102.0,0.162,62.0,2,1.5,9.3,5.3,0.0,0.5,-2.9,100,0,0,0,0,0,-3.5681036526208625,-1.3940012347091002,49.1,69.6,1.5,53.0,2.5,13.4
Ron Holland,DET,SF,19.9,8.2,18.9,13.6,34,42,230,0.364,88.0,0.253,0.525,90.0,0.274,104.0,23,6.1,16.5,11.4,1.7,2.9,1.4,0,0,25,75,0,5,0.5970564298471239,-0.1599273375186493,19.0,41.1,24.3,49.3,45.6,41.3
Chaney Johnson,BRK,SF,20.5,16.4,16.2,15.5,6,5,90,0.319,77.0,0.3,0.635,109.0,0.372,141.0,1,10.4,16.3,13.2,2.4,2.1,0.4,0,8,42,47,3,6,1.8831448708466347,-1.8963020637139465,18.2,54.5,29.9,42.2,46.1,48.7
Jake LaRavia,LAL,PF,25.1,9.3,14.4,12.9,43,26,343,0.465,112.0,0.321,0.571,98.0,0.291,110.0,14,6.8,11.5,9.3,1.7,2.5,0.5,0,5,56,39,1,6,-0.2181623950988069,-0.6927772879738175,18.5,62.1,20.0,45.7,54.9,38.8
Sharife Cooper,WAS,PG,17.1,25.8,20.0,18.2,37,19,310,0.308,74.0,0.382,0.609,105.0,0.243,92.0,8,2.7,10.6,6.6,0.6,1.1,-2.9,100,0,0,0,0,2,-0.8977258400233274,1.0994452910728594,57.0,42.2,12.6,17.2,6.7,37.4
Luka Garza,BOS,C,16.2,8.5,17.7,10.1,9,8,162,0.356,86.0,0.433,0.682,117.0,0.328,124.0,19,15.7,12.0,13.8,2.5,1.2,0.2,0,0,0,4,96,1,3.0628643704477856,-2.1753070553455367,17.7,51.4,62.9,70.8,20.4,61.8
Bez Mbeng,UTA,SG,32.8,16.2,11.1,16.5,14,7,144,0.31,75.0,0.194,0.55,95.0,0.25,95.0,3,3.9,8.8,6.3,1.0,3.2,0.1,23,61,17,0,0,6,-1.0938297503682448,-1.0402223502108685,19.7,48.5,15.3,8.4,55.7,32.1
Bryce McGowens,NOP,SG,21.0,9.5,14.0,5.7,6,5,150,0.392,95.0,0.409,0.61,105.0,0.401,152.0,10,1.5,9.4,5.4,1.0,1.5,-0.9,6,65,29,0,0,6,-1.0033409961926372,-1.2550659482051654,17.7,72.5,13.6,24.8,44.5,43.0
Gary Trent Jr.,MIL,SG,21.2,8.0,17.2,7.6,22,10,186,0.723,174.0,0.36,0.533,92.0,0.11,42.0,6,0.7,4.8,2.8,0.2,1.2,-2.2,2,36,61,1,0,0,-4.443606445169013,-1.6313327288079231,22.3,86.8,1.0,43.8,42.6,10.3
Mouhamadou Gueye,CHI,PF,22.5,17.9,14.6,19.0,1,2,15,0.455,110.0,0.2,0.627,108.0,0.364,138.0,0,4.8,9.3,7.1,1.9,2.1,-1.7,0,0,0,46,54,6,0.7297075459965207,-1.920383306083294,16.7,41.9,35.0,59.3,20.7,38.5
DeJon Jarreau,MEM,SG,21.0,21.8,21.4,21.8,13,6,93,0.361,87.0,0.133,0.473,81.0,0.277,105.0,3,5.5,18.6,12.0,3.2,2.1,-0.3,12,67,21,0,0,6,-0.0800959654489505,-0.5869396797062474,28.6,50.0,29.1,19.3,44.4,27.7
Tre Scott,BRK,PF,30.3,8.2,13.6,7.1,4,0,25,0.38,92.0,0.316,0.456,78.0,0.12,46.0,2,6.1,14.2,9.9,2.6,2.2,-1.1,0,0,0,0,100,5,-0.7037028440013485,-3.015702295093006,12.2,30.4,59.6,63.4,24.2,18.0
Nate Williams,GSW,SG,17.1,8.8,19.5,13.7,7,5,30,0.341,82.0,0.433,0.592,102.0,0.17,65.0,1,9.2,4.8,7.0,0.0,1.0,-2.9,0,9,62,29,0,0,-1.5451629314685262,-2.17103546804389,16.1,66.1,12.6,31.9,32.4,33.7
Bruce Brown,DEN,SG,24.4,11.3,14.5,13.6,52,24,413,0.284,68.0,0.385,0.562,97.0,0.241,92.0,12,5.0,12.5,8.9,0.9,2.1,0.1,31,64,5,0,0,7,-0.6190124365601413,0.2270102551886952,27.2,54.6,19.2,18.2,42.5,38.5
Moussa Diabaté,CHO,C,26.0,10.2,11.4,14.2,26,10,359,0.006,1.0,0.5,0.653,112.0,0.485,184.0,16,16.5,21.1,18.9,3.5,1.5,1.2,0,0,0,1,99,3,5.795547425541361,-1.5036054942148749,11.4,30.1,80.7,54.3,29.4,77.2
Tyson Etienne,BRK,PG,15.8,16.9,20.3,9.0,4,4,98,0.745,179.0,0.398,0.588,101.0,0.248,94.0,4,1.4,7.1,4.1,0.0,1.4,-2.0,100,0,0,0,0,7,-3.1816435232578537,-0.6243992362232116,54.8,66.4,0.0,47.7,12.0,20.2
Leonard Miller,2TM,SF,15.6,8.2,18.7,11.2,11,15,97,0.378,91.0,0.323,0.633,109.0,0.202,77.0,11,8.1,18.6,13.4,1.8,1.1,-1.1,0,3,54,40,2,5,0.6463808112569395,-2.0766912844128407,17.2,61.9,27.5,43.7,36.0,41.0
Walter Clayton,2TM,PG,20.4,26.6,18.5,18.4,69,37,673,0.529,128.0,0.307,0.523,90.0,0.262,100.0,10,1.9,8.9,5.3,1.3,1.5,-2.1,63,36,0,0,0,2,-2.031338577147282,2.1867286888788877,55.1,54.7,9.4,30.7,20.5,25.9
Oscar Tshiebwe,UTA,C,16.6,10.6,17.2,11.2,10,10,75,0.0,0.0,0.0,0.633,109.0,0.338,128.0,9,18.1,25.2,21.6,1.1,1.7,-2.8,0,0,0,20,80,3,5.117599880445512,-2.475061229305554,13.1,8.7,68.0,25.1,12.5,66.5
Dominick Barlow,PHI,PF,23.8,7.0,12.8,10.9,25,15,219,0.206,50.0,0.256,0.597,103.0,0.328,125.0,23,8.5,13.5,11.0,2.9,1.8,0.4,0,0,0,89,11,5,2.0279477450573564,-1.435120698144282,11.2,27.4,35.6,49.0,27.7,55.9
Quinten Post,GSW,PF,17.3,11.9,18.8,10.9,21,14,224,0.631,152.0,0.336,0.56,96.0,0.098,37.0,3,6.4,19.7,12.9,2.8,1.1,-0.1,0,0,0,7,93,5,-0.079099635580917,-2.218254711484009,24.6,54.7,56.1,86.7,18.1,17.7
